"Location Name","number","lat","lon","Demographic information","Stem Morphology","NA","Fruit Morphology","NA.1","NA.2","NA.3","NA.4","Crown Morphology","NA.5","Breeding behaviors","germniation (%)"
"Ni'ihau Niu at Bayer Estate, Aina Haina","1.0",21.27772,-157.749388333333,"Ni'ihau Niu at Bayer Estate, Aina Haina: This historically and morphologically unique coconut tree is a direct descendent of the original niu that were brought to Hawai'i by the early Polynesian settlers. Standing in the Bayer Estate are twelve of the original thirty-two coconut trees germinated from coconuts from the island of Niʻihau. According to Bayer's family, these coconut trees were a gift of Carlos Long, given in 1930 from the Robinson family who own the Island of Niʻihau. One of the unique characteristics of this particular niu variety I detected is that the unevenly positioned nature of the spikelet in the inflorescence would allow female flowers to be receptive in different phases for a longer period over 4 weeks. During this period, female flows would be able to receive pollen directly and indirectly from male pollen available from 3 different inflorescences within any given time on the same tree.","Compact Dwarf","Yes","Medium","Circular","Green","14.0","F","Medium","Spherical","Autogamy (D, I)",NA
"Kalauha‘iha‘i, Maunalua Bay, Niu Valley","2.0",21.28253,-157.731888333333,"Kalauha‘iha‘i, Maunalua Bay, Niu Valley: Seed coconuts are collected from 2 different trees of the same variety next to each other in the same location. Each tree is about 60 ft tall and about 70 years of age. The property is managed by Chris Cramer and this particular coconut variety is mostly seen in this area of Niu Valley.","Tall","Yes","Large","Obovate","Brown","10.0","F","Large","Spherical","Allogamy",NA
"Maunalua Fishpond Heritage Center, Niu Valley","3.0",21.2841366666667,-157.72722,"Maunalua Fishpond Heritage Center, Niu Valley: Seed nuts are selected from a single tree, the fruits appear to be dark orange which also matches the base color of the inflorescences and tree frond's petioles. This variety was previously germinated and planted in the Uluniu of Kūkaniloko under selection No: 09.","Tall","No","Large","Ovate","Orange","8.0","F","Medium","Semi-spherical","Autogamy (D)",NA
"Kalauha‘iha‘i, Maunalua Bay, Niu Valley","4.0",21.28253,-157.731888333333,"Kalauha‘iha‘i, Maunalua Bay, Niu Valley: From a property managed by Chris Cramer, seed nuts are collected from a single tree that is the age of about 20 years and about 25 ft in height. The nuts appear to be large in size, rich with cream, and pretty sweet water. I havenʻt encounterd this interesting variety much within O'ahu but had seen this variety in Hana, Maui. Previously, we placed seven seed nuts from this tree at WCCHC niu nursery and all seven seeds germinated and those seedlings were gifted to Kahumana and Mouna Farms in Waianae.","Tall","Yes","Large","Elliptic","Green","7.0","F","Large","Spherical","Autogamy (I)",NA
"Kawaikui Beach Park, Niu Vally","5.0",21.279975,-157.742171666667,"Kawaikui Beach Park, Niu Vally:  This tree is located on the left side of Kawaikui Beach Park, in the beachfront of a private property.  Fruits appear to be dark green and very elongated shape. The crown of the tree is dark green with all the fronds and fruits appearing to be the same color.  The shape and the color of this tree can be recognized to be a unique variety and this is the only tree I have seen of this kind.","Tall","No","Large","Ovate","Green","12.0","M","Large","Spherical","Allogamy",NA
"Makiki Green Dwarf, Makiki","6.0",21.3062116666667,-157.832566666667,"Makiki Green Dwarf, Makiki: This is one-of-a-kind super compact dwarf varieties I have ever seen in my coconut career. The coconut tree is approximately 50 years (confirmed by Naomi, the house owner), height of 7ft, with very short fronds (totaling 6ft), and large dark green fruits. The tree originally comes from the West side and is located on Makiki Street, below Nehoa Street","Compact Dwarf","No","Large","Circular","Green","4.0","F","Small","Spherical","Autogamy (D)",NA
"Kalaeloa Barber’s Point Lighthouse","7.0",21.29695,-158.105713888889,"Kalaeloa Barber’s Point Lighthouse: This property is managed by Wainani and James Texeira, and the place is used by Germaine's Luau with a collection of nearly 100 palms including a number of dwarf trees, and many tall trees. This specific coconut tree is about 20 years of age and 15ft in height. No coconut mite or CRB-associated issues are detected in this area at this time.","Dwarf","No","Medium","Obovate","Orange-green","8.0","M","Large","Semi-spherical","Allogamy",NA
"Kalaeloa Barber’s Point Lighthouse","8.0",21.29695,-158.105713888889,"Kalaeloa Barber’s Point Lighthouse: From a property managed by Wainani and James Texeira, and the place is used by Germaine's Luau with a collection of nearly 100 palms including a number of dwarf trees, and many tall trees. This tree is about 30 years of age and 20ft in height, fruits and fronds appear to be dark green. No coconut mite or CRB-associated issues are detected in this area at this time.","Compact Dwarf","No","Medium","Circular","Green","6.0","F","Medium","Spherical","Atogamy (1)",NA
"Kalaeloa Barber’s Point Lighthouse","9.0",21.29695,-158.105713888889,"Kalaeloa Barber’s Point Lighthouse: Seeds are from the same property managed by Wainani and James Texeira, and the place is used by Germaine's Luau with a collection of nearly 100 palms including a number of dwarf trees and many tall trees. This tree is about 45 years of age and 35ft in height. No coconut mite or CRB-associated issues are detected in this area at this time.","Dwarf","No","Medium","Obovate","Orange-brown","10.0","F","Medium","Spherical","Allogamy",NA
"Kalaeloa Barber’s Point Lighthouse","10.0",21.29695,-158.105713888889,"Kalaeloa Barber’s Point Lighthouse: This set of seeds are also from the property managed by Wainani Texeira & a team. The place is used by Germaine's Luau with a collection of nearly 100 palms including a number of dwarfs and some tall trees are grown on this property. The place coordinator is been in the property for over 20 years and the seed nut was from 2 palms of the same variety next to each other. The threes are about 20 to 30 years of age and about 30 ft in height. No coconut mite or CRB-associated issues are detected in this area.","Tall","Yes","Large","Ovate","Orange-brown","14.0","F","Large","Spherical","Autogamy (I)",NA
